hcluster_id,commodities_list,mine_id,source,note
13593,Gold,37070;41044,SNL Metals and Mining Database,NA
12283,Gold,66767;29440;78662,SNL Metals and Mining Database,NA
6807,Platinum;Gold,31176,SNL Metals and Mining Database,NA
10436,Bauxite,70418,SNL Metals and Mining Database,NA
3898,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
12278,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
12281,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
10416,Coal,COM00711.00,Jasansky et al 2023,NA
3006,Bauxite;Aluminium,COM01355.00,Jasansky et al 2023,NA
10408,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
3880,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
2970,Bauxite;Aluminium,COM01347.00;COM00314.00,Jasansky et al 2023,NA
10433,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
10431,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
6763,Coal,COM00266.00,Jasansky et al 2023,NA
12280,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
3917,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
8765,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
12288,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
3868,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
6766,Nickel,32300,SNL Metals and Mining Database,NA
14706,Gold;Iron Ore;Antimony,35952;32433;32434;59157;32435;32432;32436,SNL Metals and Mining Database,NA
10421,Nickel;Iron Ore;Cobalt;Zinc;Lead,57440;35393;61589,SNL Metals and Mining Database,NA
17516,Gold,34677,SNL Metals and Mining Database,NA
14713,Gold,35601,SNL Metals and Mining Database,NA
14775,Gold;Silver,60973,SNL Metals and Mining Database,NA
9645,Gold,54352;29566,SNL Metals and Mining Database,NA
3918,Gold,NA,expert,Small scale gold mines visible in the Sentinel-2 cloudless 2019 by EOX
